step,ego_vid,cri_left,cri_right,alert_left,alert_right,scenario_type,top_threat,top_cri
392,bsp_24,0.3543369258970145,0.0,CAUTION,SAFE,normal,bsp_25,0.3543369258970145
393,bsp_24,0.3210444504676309,0.0,CAUTION,SAFE,normal,bsp_25,0.3210444504676309
395,bsp_25,0.0,0.4037725975188032,SAFE,CAUTION,normal,bsp_24,0.4037725975188032
404,bsd_demo_10,0.0,0.5468059775017653,SAFE,CAUTION,normal,0,0.5468059775017653
404,bsd_demo_9,0.7501929557776214,0.0,WARNING,SAFE,normal,0,0.7501929557776214
405,bsd_demo_10,0.0,0.6082904526629149,SAFE,CAUTION,normal,0,0.6082904526629149
405,bsd_demo_9,0.718316011055509,0.0,WARNING,SAFE,normal,0,0.718316011055509
406,bsd_demo_10,0.0,0.4886094240646816,SAFE,CAUTION,normal,0,0.4886094240646816
406,bsd_demo_9,0.6259725459893959,0.0,WARNING,SAFE,normal,0,0.6259725459893959
407,bsd_demo_10,0.0,0.3550870104334872,SAFE,CAUTION,normal,0,0.3550870104334872
407,bsd_demo_9,0.6414453610893909,0.0,WARNING,SAFE,normal,0,0.6414453610893909
408,bsd_demo_10,0.0,0.429589347346226,SAFE,CAUTION,normal,0,0.429589347346226
408,bsd_demo_9,0.5872864562881625,0.0,CAUTION,SAFE,normal,0,0.5872864562881625
409,bsd_demo_10,0.0,0.3240965089962208,SAFE,CAUTION,normal,0,0.3240965089962208
409,bsd_demo_9,0.5072265951269168,0.0,CAUTION,SAFE,normal,0,0.5072265951269168
410,bsd_demo_9,0.5114418359360201,0.0,CAUTION,SAFE,normal,0,0.5114418359360201
411,bsd_demo_9,0.5520081642659311,0.0,CAUTION,SAFE,normal,0,0.5520081642659311
412,bsd_demo_9,0.6398990633835442,0.0,CAUTION,SAFE,normal,0,0.6398990633835442
413,bsd_demo_9,0.4826337471856366,0.0,CAUTION,SAFE,normal,0,0.4826337471856366
414,bsd_demo_9,0.3601870827202638,0.0,CAUTION,SAFE,normal,0,0.3601870827202638
415,bsd_demo_9,0.4735590384703716,0.0,CAUTION,SAFE,normal,0,0.4735590384703716
416,bsd_demo_9,0.7224051159601242,0.0,CAUTION,SAFE,normal,0,0.7224051159601242
420,bsp_27,0.0,0.7417902381335701,SAFE,WARNING,normal,bsp_25,0.7417902381335701
421,bsp_27,0.0,0.7566441753419815,SAFE,WARNING,normal,bsp_25,0.7566441753419815
422,bsp_27,1.6626510952698276e-188,0.7414197105884268,SAFE,WARNING,normal,bsp_25,0.7414197105884268
427,1,0.0,0.6829480115413041,SAFE,WARNING,normal,2,0.6829480115413041
428,1,0.0,0.6027615660245754,SAFE,WARNING,normal,2,0.6027615660245754
429,1,0.0,0.5684073276193459,SAFE,CAUTION,normal,2,0.5684073276193459
430,1,0.0,0.43345511699748956,SAFE,CAUTION,normal,2,0.43345511699748956
430,21,0.6840312613733939,0.0,WARNING,SAFE,normal,1,0.6840312613733939
462,bsp_29,0.0,0.3773363404581624,SAFE,CAUTION,HNR,bsp_26,0.3773363404581624
462,bsp_30,0.39212710380780597,0.0,CAUTION,SAFE,HNR,bsp_26,0.39212710380780597
463,bsp_29,1.9038693620640626e-133,0.3907717908585073,SAFE,CAUTION,HNR,bsp_26,0.3907717908585073
476,5,0.7128657398665762,0.0,WARNING,SAFE,HNR,7,0.7128657398665762
498,bsd_demo_11,0.0,0.7231184249518511,SAFE,WARNING,HNR,bsd_demo_12,0.7231184249518511
499,bsd_demo_11,0.0,0.6165133481623438,SAFE,WARNING,HNR,bsd_demo_12,0.6165133481623438
500,bsd_demo_11,0.0,0.5812323558743614,SAFE,CAUTION,HNR,bsd_demo_12,0.5812323558743614
501,bsd_demo_11,0.0,0.748133688658644,SAFE,CAUTION,HNR,bsd_demo_12,0.748133688658644
502,bsd_demo_11,0.0,0.7240837490615397,SAFE,CAUTION,HNR,bsd_demo_12,0.7240837490615397
503,bsd_demo_11,0.0,0.667542421004146,SAFE,WARNING,HNR,bsd_demo_12,0.667542421004146
504,bsd_demo_11,0.0,0.7530907954627051,SAFE,WARNING,HNR,bsd_demo_12,0.7530907954627051
